project,job_no,address,permit,contractor,phone,manager
Hogan-Li,18-0300,"4102 38th Avenue SW, Seattle",6648671,McKain Construction,(206) 938-1028,Anthony
Honeywell Aerospace,17-0910,"15001 NE 36th Street, Redmond",n/a,Matthew Reid Construction,(425) 829-8601,Anthony
Hudson Single Family Residence,18-0425,"3912 South Hudson Street, Seattle",6529717,"Orcas Homes, LLC",(253) 653-6545,Isaac
Hudson Townhomes,18-0131,"3910 South Hudson Street, Seattle",6531146,"Orcas Homes, LLC",(253) 653-9545,Isaac
Ingraham High School Addition,18-0431,"1819 N. 135th Street, Seattle",6583445,Cornerstone General Contra,(360) 854-8334,Walter
Inspirus Credit Union Office Addition,17-0650,"5200 Southcenter Blvd., Tukwila",D16-0317,"PCL Construction Services,",(425) 429-4990,Walter
Integrated Education Center - RH Testing,17-0409,"6000 16th Avenue SW, Seattle",,"West Coast Flooring, Inc.",(253) 970-7270,Isaac
Interbay Golf Center Pole Replacement,18-0091,"2501 15th Avenue West, Seattle",6605427,NETServices,,Walter
Interbay Urban Storage Sign,18-0369,"1561 West Armory Way, Seattle",,"Plumb Signs, Inc.",(253) 381-6854,Isaac
Island Soul Restaurant,18-0468,"4869 Rainer Avenue South, Seattle",6588357,"Rafn Company, Inc.",(206) 510-2659,Isaac
JC Penney Switch Gear Support and Access,18-0433,"1249 Southcenter Mall, Tukwila",D16-0232,"Sequoyah Electric, Inc.",(206) 793-4957,Isaac
JC Penney Transformer Relocation,18-0147,"1249 Southcenter Mall, Tukwila",D16-0232,"Sequoyah Electric, Inc.",(425) 766-2355,Isaac
JD 65,17-0981,"6575 NE Windemere Road, Seattle",6556009,"Schultz Miller, Inc.",206-551-9664,Isaac
Jefferson Park Apartments - Structural,17-0351a,"2902 Beacon Avenue South, Seattle",6552298,Edge Developers/MarPac C,(206) 226-5835,Walter
Jelovich Residence,18-0148,"11807 4th Avenue SW, Burien",PLA17-1562,,206-244-4141,Anthony
JFC International,18-0389,"5015 8th Street E, Fife",BLDCA18-0105,"Pro Construction, Inc.",253-261-2069,Isaac
Jimmy B,18-0436,"507 22nd Avenue, Seattle",6453103,,(206) 747-6919,Isaac
Jones Residence (Erik),18-0392,"3820 E Howe Street, Seattle",333175,"March-MacDonald, Inc.",(206) 793-1048,Isaac
Joslin-Gilleland - SIR,18-0346,"1950 Alaskan Way, Unit 137, Seattle",,Potter Construction,(206) 300-1639 / (,Jeff
Juanita Bay Veterinary/ AWI Office,14-0103,"11496 98th Avenue NE, Kirkland",BNR 13-04519,"Corstone Contractors, LLC",(425) 870-5894,Jeff
Kageyama Residence,18-0308,"1639 86th Avenue NE, Clyde Hill",2017-0040,"Granite Mountain Builders, L",(425) 466-6209,Isaac
Kanishka Catering Kitchen,18-0032,"16651 Redmond Way, #180, Redmond",MECH-2017-0524,Tekas Fire & Hood Installati,(206) 617-4951,Isaac
Kao Residence,18-0043,"12065 30th Ave SW, Burien",,Pile King,(206) 499-5665,Scott
Kaphan-Lock Residence,16-0834,"1623 9th Avenue West, Seattle",6505822,Hoxie Huggins Construction,360-509-3187,Jeff
KC Metro - Central Base Paving Repair,18-0371,"1270 6th Avenue South, Seattle",n/a,,(206) 799-8279,Jeff
Ken Phillips House - Structural,17-0317a,"1945 82nd Ave SE, Mercer Island",1602-198,"March-MacDonald, Inc.",(206) 793-1048,Walter
Kent Supreme Self Storage - Bldg. C,18-0396,"25301 Pacific Highway South, Kent",CNST 2164095,"JPR Construction, Inc.",(253) 221-1000,Isaac
Kentwood Apartments,18-0405,"22415 Benson Road S, Kent",,"CDK Construction Services,",(206) 371-9794,Isaac
Kevin Residential Addition,18-0162,"11736 9th Avenue NE, Seattle",6633386,"Hodge & Sons, LLC",,Isaac
Key Trucking Awning,18-0242,"19655 78th Ave S, Kent",2174062,Bedkers Welding,(253) 988-0283,Isaac
King Street Arts TI,18-0449,"303 S. Jackson Street, Seattle",6575705,Centennial Contractors Ente,(253) 249-4885,Isaac
Kinkade Crossing,18-0437,"17623 115th Place SE, Renton",B1800045,"RM Homes, LLC",(360) 920-9150,Isaac
Kitts Veranda Street Improvement,18-0390,"7538 43rd Avenue South, Seattle",295695,"Pacwest Construction, LLC",(206) 715-6200,Isaac
Klansnic Residence,18-0320,"17107 SE Cougar Mountain Rd, Bellevue",,"TL Erickson Construction, In",(206) 909-9521,Isaac
Kleiver Residence Seismic Retrofit,18-0130,"2401 94th Ave NE, Clyde Hill",BLD2018-0022,"A-FFIX, LLC - RETAINER R",(206) 227-4869,Isaac
Kubota Gardens,18-0277,"9827 55th Avenue S, Seattle",6077945,Rainproof Contracting,(206) 714-1208,Isaac
Kulinsky Residence,18-0132,"1502 143rd Ave NE, Bellevue",17-126368BU,Bequette & Dunn Constructi,(206) 819-0470,Jeff
Kumar Residence (Seattle),18-0229,"5403 49th Avenue SW, Seattle",6628223,"Rudy's Construction NW, In",(206) 300-2208,Isaac
L+K Residence,18-0116,"16025 SE 16th, Bellevue",17-111482BS,"Sunshine Construction, LLC",(206) 650-7006,Isaac
La Fon Residence,18-0292,"1164 N 76th Street, Seattle",6524902,"Baird Designs, Inc.",(206) 669-5159,Isaac
Laframboise Residence,18-0210,"333 West Olympic Place, Seattle",6597493,"Plum Construction, LLC",(206) 388-9234,Isaac
Lake City Family Housing,17-0505,"12705 30th Avenue NE, Seattle",6524719,Walsh Construction Compa,,Walter
Lake House at Madison Park,17-0970,"2320 43rd Ave E, Seattle",6610084,"NW Remodel, Inc.",(206) 920-5278,Jeff
Lake to Sound Trail Segment A,17-0903,"Fort Dent to Black River Riparian, Tukwila",,,,Scott
Lake Union Life,18-0386,"100 East Edgar Street, Seattle",6592397,Ruff Construction,206-734-8468,Isaac
Lambert Residence - Enumclaw,17-0761,"35817 249th Ave. SE, Enumclaw",,Swanson Brothers Concrete,(206) 255-5727,Isaac
Lansing,18-0123,"18829 33rd Ave NE, Lake Forest Park",,,(206) 244-4141,Scott
Lea Hill Pressure Reducing Valve Stations (,18-0171,"Various, Auburn",,,,Jeff
Leaf Apartments,17-0909,"3309 Beacon Avenue South, Seattle",6485509,STS Construction Services,,Isaac
Leary Work/Live Project - North Building,17-0973,"3615 2nd Ave NW, Seattle",6519370,"Top Floor Homes, LLC",(206) 683-9791,Isaac
Leary Work/Live Project - South Building,17-0974,"3611 2nd Ave NW, Seattle",6473030,"Top Floor Homes, LLC",(206) 683-9791,Isaac
Lee Street Residence Seismic Upgrade Pha,17-0272,"700 West Lee Street, Seattle",6549282,"Lockhart Suver, LLC",206-734-1109,Isaac
Les Gove Restroom Project,18-0071,"910 9th Street SE, Auburn",BLD17-0262,"Christensen, Inc. General C",(360) 789-4329,Jeff
Les Schwab Tire Center,18-0223,"6328 Capital Blvd SE, Tumwater",,"Petra, Inc.",(425) 495-2318,Isaac
Liberty Bank Building,17-0697,"2320 E. Union Street, Seattle",6427812,Walsh Construction Compa,(206) 571-7332,Walter
Liberty Park - Suite 140-240 Stair Infill,18-0284,"371 NE Gilman Blvd, Issaquah",BLD16-00397,"My-Way Construction, LLC",(206) 919-2878,Jeff
Lift Station 46 Installation (Contract 2-2011S),15-0658,"156th Place SE & SE 272nd Street, Covington",,,425-533-5204,Jeff
LIHI Renton Commons,18-0008,"215 Whitworth Avenue South, Renton",B17001987,Walsh Construction Compa,,Walter
Lincoln High School Modernization,17-0905,"4400 Interlake Avenue North, Seattle",6540641,"Lydig Construction, Inc.",,Walter
Little Pilchuck Submittal Samples,18-0397,",",,Condon-Johnson & Associat,,Isaac
Lot 32,18-0178,"27219 SE Grand Ridge Drive, Issaquah",DWEL17-0075,"March-MacDonald, Inc.",(206) 793-1048,Walter
Lower White River Countyline Levee Setbac,16-0153,"A Street downstream to 8th Street, Pacific",,,425-306-7032,Anthony
Ma Residence,18-0259,"10843 Point Vashon Drive SW, Vashon",,Duane Didricksen Constructi,(206) 595-1576,Isaac
MacDonald Residence,17-0250,"107 Tower Pl, Seattle",6480968,"MLF Built, Inc.",(206) 280-3081,Isaac
MacGowan Residence,18-0367,"2922 Fairview Avenue East, Seattle",6557982,ICA Construction,,Isaac
Magnolia Elementary School Renovation and,18-0023,"2418 28th Avenue West, Seattle",6511044,Forma Construction Compa,(206)939-0163,Walter
Magnolia School Renovations - Barrier One,18-0312,"2418 28th Avenue West, Seattle",,,,Walter
Magnuson Park Building 11 Seismic Retrofit,17-0629,"7777 62nd Avenue NE, Seattle",6540944,Reynolds General Contracti,(206) 707-5877,Walter
Majiq T.I.,17-0485,"8343 154th Avenue NE, Suite 200, Redmond",BLDG-2016-0935,Pattison General Contractor,(206) 856-4436,Walter
Making Cosmetics,18-0150,"10800 231st Way NE, Redmond",ADDC17-0673,"Davis Schueller, Inc.",(206) 571-1031,Isaac
Maloney Grove 13,18-0286,"710 Maloney Grove, North Bend",PLN2017-0283,BDZ Construction,(425) 754-5635,Walter
Margo Day Residence,18-0269,"219 Skyline Drive, Edmonds",(in progress),On Point Construction,(360) 223-3359,Isaac
Marinkovich Residence - Construction Monit,17-0231,"11706 Exeter Avenue NE, Seattle",6321910,,,Scott
Marinkovich Residence - Design Phase,14-0248,"11706 Exeter Avenue NE, Seattle",,"Marinkovich, Michael",,Scott
Marinwood Lot 22,18-0227,"13008 137th Dr NE, Kirkland",,Pulte Homes,(425) 761-2825,Jeff
Market Place at Factoria,18-0466,"4065 Factoria Mall Blvd, Bellevue",,AC Moate Industries,(206) 510-8241,Isaac
Marsh Commons Retaining Wall,18-0447,"10141 NE 66th Lane, Kirkland",,,(206) 849-9437,Scott
Mason Residence (2017),17-0360,"2307 Perkins Lane West, Seattle",6441443,"SBI Construction, Inc.",(206) 730-2546,Isaac
Materra at Greenbridge,18-0251,"9900 10th Avenue SW, Seattle",STRB17-0002,"Riverton Contractors, Inc.",(206) 849-7057,Isaac
Matsudaira Residence,18-0381,"15921 SE 8th Street, Bellevue",,"JD Bergevin Homes, Inc.",(425) 406-0680,Jeff
Mattson Residence,18-0401,"14011 NE 71st Place, Redmond",Site - 2017-00737,Bromik Design & Build,(425) 591-6323,Jeff
McClure Residence,18-0455,"1530 31st Avenue, Seattle",n/a,Pathway Design & Construct,,Anthony
McDowell Pile King Office Remodel,18-0370,"18905 84th Avenue South, Kent",RC11-2173660,"McDowell NW Pile King, Inc.",(206) 510-0515,Jeff
Medina Residence,17-0229,"2637 77th Avenue NE, Medina",B16-040,"Melco Enterprises, Inc.",206-930-7140,Walter
Mendoza Residence,18-0415,"5905 Fairlawn Drive SW, Lakewood",BP1800426,Mendo Construction,(206) 669-8054,Isaac
Mercer Island Project,18-0053,"9375 Mercerwood Drive, Mercer Island",,"Eastside Decks, LLC",,Scott
Mercer Place II,18-0289,"609 West Mercer Place, Seattle",6610639,STS Construction Services,,Isaac
Meydenbauer Residence,18-0337,"707 94th Avenue SE, Bellevue",17113498BS,Roberts Group Custom Buil,(206) 790-5418,Isaac
Mid Town Apartments,18-0454,"8820 Aurora Ave N, Seattle",6546477,Epic Construction Managem,(206) 369-8786,Isaac
Mini Mart City Park,18-0453,"6525 Ellis Avenue South, Seattle",6536115,"Method Construction, Inc.",(310) 895-3628,Isaac
Mitchell Project (Aaron),16-0522,"3229 & 3227 106th Avenue SE, Bellevue","14-143411 BS, 14",STS Construction Services,(206) 510-7111,Isaac
Montvale Residence,18-0264,"2109 Montvale Court West, Seattle",6615895,"Build Modern, Inc.",(206) 919-2452,Jeff
Mott Residence,16-0614,"4822 N.E. 41st Street, Seattle",6531256,,,Scott
Mount Baker Station Apartments - 2615,18-0074,"2615 25th Ave S, Seattle",6309478,Osborne Construction Comp,(425) 305-7401,Walter
Mount Baker Station Apartments - 2715,18-0073,"2715 25th Ave S, Seattle",6535937,Osborne Construction Comp,(425) 305-7401,Walter
Mountain View Fire & Rescue Station 92 Livi,18-0379,"31709 Kent Black Diamond Road, Auburn",ADDC17-0659,H. B. Hansen Construction,(360) 815-3225,Jeff
Mountainview Estates,18-0413,"805 SE Cedar Falls Way, North Bend",20110036065-180,BDZ Construction,(425) 754-5635,Walter
Mountlake Terrace Gateway - SIR,18-0335,"6021 244th Street SW, Mountlake Terrace",,,(360) 589-7610,Jeff
Mouton Residence,18-0079,"758 38th Avenue, Seattle",6605114,Joseph McKinstry Constructi,(206) 356-8421,Isaac
Multani Multifamily,17-0667,"10902 SE 204th Street, Kent",,"Multani Custom Homes, LL",(206) 501-6467,Isaac
Myrtle Apartments,17-0776,"4301 SW Myrtle Street, Seattle",6598063,"Hendrik Construction, LLC",,Walter
Nakamichi Seismic Retrofit,18-0319,"12539 SE 73rd Street, Newcastle",BLD18-002,"A-FFIX, LLC - RETAINER R",(360) 305-7761,Isaac
NAPA Auto Parts Awning,18-0215,"8441 S. 180th St, Kent",CNST-2180507,,(206) 819-3846,Walter
Nathan Hale Portables Foundation,18-0173,"10750 30th Ave NE, Seattle",6618871-not issue,,,Anthony
Nazim Nice Triplex,17-0321,"625 Malden Avenue East, Seattle",6527677,Halfon Construction Compa,(206) 484-5549,Isaac
Neighbours Night Club,18-0338,"1509 Broadway, Seattle",6406278,,,Isaac
Nemes Residence,18-0387,"16831 84th Lane NE, Kenmore",CMB16-0666,"McDowell NW Pile King, Inc.",,Isaac
Nesbit Apartments,18-0105,"8558 Nesbit Avenue N, Seattle",6445306,"Stratford Co., LLC",(206) 890-8790,Isaac
N-Habit Rainier Apartments,17-0554a,"718 Rainier Avenue South, Seattle",6557651,WG Clark Construction Com,,Walter
Niesen Residence,18-0388,"8805 South I Street, Tacoma",,"Drewtown Construction, LLC",,Isaac
Nissan Seattle - HBI860154,17-0867,"3412 Airport Way South, Seattle",,"Hayward Baker, Inc.",(206) 321-7261,Jeff
Nordstrom Scaffold Brackets,16-0255,"500 Pine Street, Seattle",6485229,Pioneer Masonry Restoratio,425-308-1900,Jeff
North Bend City Hall,18-0461,"1155 East North Bend Way, North Bend",,,,Isaac
Northgate III (aka Northgate 8th) - Structural,17-0576a,"10711 8th Avenue NE, Seattle",6572059,"Rafn Company, Inc.",(206) 510-4880,Walter
Northgate Villa,17-0478,"10501 8th Avenue NE, Seattle",6566180,"WES Construction, Inc.",(425) 280-3667,Jeff
Northwest 63rd Street,18-0151,"1443 NW 63rd Street, Seattle",6496710,"Greenbuild Development, LL",(253) 269-2748,Isaac
Northwest Kidney Center Federal Way E - Lo,18-0329,"33820 Weyerhaeuser Way S, Suite 100, Feder",,"Aldrich & Associates, Inc.",(206) 396-0290,Anthony
Nourish Catering,18-0326,"1603 14th Ave, Seattle",6618239,Steffes Construction,(206) 786-8480,Jeff
Nucor Electrical Equipment Enclosure,18-0144,"2424 SW Andover Street, Seattle",6567769,"Nucor Steel, Inc.",(206) 933-2222,Isaac
Oberto Warehouse,18-0260,"22515 54th Avenue South, Kent",CNST-2173652,"Kelly-Thomas, Inc.",(206) 786-7480,Isaac
Olympic Middle School Reconstruction,18-0459,"1825 K Street SW, Auburn",BLDG18-0038,Absher Construction Compa,253-279-9282,Walter
Operations and Maintenance Facility: East,17-0564,"See Notes, Bellevue",,"KBA, Inc.",,Walter
Orams Residence,18-0404,"111 NE 55th Street, Seattle",,,,Anthony
Othello Station Dental,18-0462,"4219 S Othello Street, Suite 105 D&E, Seattle",6579430,Arcon Tenant Improvement,(206) 999-0109,Isaac
Pacific Lighting Services,18-0066,"6004 South 190th Street, Kent",CNST2172900,TCL Partners,(425) 301-8326,Isaac
Pacific Towers Soldier Piles,18-0013,"3201 Pacific Avenue, Tacoma",BLDCA17-0394,"DBM Contractors, Inc.",(206) 679-9866,Isaac
PanGEO Misc. 2018,18-0001,"Various,",,,,Anthony
Parkside Townhomes,18-0222,"1724 11th Ave, Seattle",6558723,"Isola Homes, LLC",,Isaac
Pearl Place,16-0146,"2120 S. Massachusetts Street, Seattle",6400667,Green Canopy Homes,dean@greencano,Jeff
Peralta Orthodontics - HVAC,16-0817a,"3916 California Ave SW, Seattle",6562709,"WR Hanson, Inc.",(206) 719-1217,Isaac
Perch Residence,17-0865,"821 West Blaine Street, Seattle",6548645,Dovetail General Contractor,(206) 549-8867,Isaac
Pereyra Beach House,18-0332,"125 East Lake Sammamish Pkwy SE, Samma",BLD2017-02627,Marshall Inc.,(425) 922-8095,Isaac
Peterson Szela Remodel,18-0075,"2859 NW 96th Street, Seattle",6592156,LJM Homes,(206) 854-2998,Isaac
Pier 66 Cruise Terminal Passenger Boarding,18-0327,"2225 Alaskan Way, Seattle",n/a,,(206) 787-3547,Isaac
Pier 66 South Apron Mooring Replacement,18-0092,"2522 Alaskan Way, Seattle",6622992,,,Jeff
Pier 86 - Dust System #5,18-0304,"955 Alaskan Way West, Seattle",,,,Anthony
Pioneer Square Hotel Annex,16-0794,"110 Alaskan Way South, Seattle",6088080,Venture General Contracting,(206) 939-2530,Isaac
Pitary Residence,18-0230,"914 Evergreen Drive, Bellevue",17-114252BR,Al Lind Company,(206) 393-7579,Isaac
Place to Put It,18-0430,"5565 Crawford Rd, Langley",,,(360) 941-1701,Walter
Ponnusamy Residence Garage,18-0421,"3626 60th Avenue SW, Seattle",6578543,Pile King,,Isaac
Porter Residence,18-0145,"2602 39th Ave W, Seattle",6601702,"C A Adams, LLC",(425) 220-7314,Isaac
Primm Retrofit,18-0323,"6211 150th Place SW, Edmond",18100514RK,"Cascadia Seismic, Inc.",(206) 409-5675,Isaac
ProAmpac New Breezeway,18-0208,"701 A Street NE, Auburn",ADD17-025,ProAmpac,(253) 939-8206,Isaac
ProAmpac T.I. & Penthouse Expansion,18-0176,"710 A Street NE, Auburn",ADD 17-0025,"Nelson Construction, Inc.",,Walter
Qdoba - SeaTac Airport,17-0839,"17801 International Blvd., SeaTac",,"Wilcox Construction, Inc.",(206) 817-2504,Isaac
"R&D Building - Third & Wall T.I., Suites 202",17-0694a,"3455 Thorndyke Avenue West, Seattle",6547696,"3443, LLC",(206) 999-0814,Isaac
Rainier Court IV - West Apartments,18-0429,"3616 34th Avenue South, Seattle",6538406,Venture General Contracting,,Walter
Rainier Court IV East Retaining Wall,17-0260a,"3603 35th Avenue South, Seattle",6527528,InterCity Contractors,,Walter
Rainier Court IV West Retaining Wall,17-0260b,"3616 34th Avenue South, Seattle",6527500,InterCity Contractors,,Walter
Rainier Industries - 398757 - Fish Market,18-0417,"508 Main Street, Edmonds",,"Rainier Industries, Ltd.",,Isaac
Rainier Industries - Prologis,18-0297,"6700 S Glacier St, Tukwila",,Johnson Tenant Improveme,(425) 785-3998,Jeff
Rainier Industries Auto System,18-0376,"6700 S. Glacier Street, Tukwila",,"Rainier Industries, Ltd.",(425) 981-1220,Isaac
Rainier Industries Pit Layout,18-0306,"6700 S. Glacier Street, Tukwila",,"Rainier Industries, Ltd.",(425) 981-1220,Isaac
Rainier Valley Orthodontics,18-0099,"5415 Rainier Avenue South, Seattle",6596975,Ferris-Turney General Contr,(206) 369-0500,Jeff
Rainier Valley Wet Weather Storage Project,16-0405,"2347 Rainier Ave. S./ 2700 S. Hanford St., Seat",6380019,,(360) 915-3414,Jeff
Rainier Vista North Apartments,18-0271,"3927 27th Avenue S, Seattle",,"Rainier Vista North, LLC",(206) 818-0598,Jeff
Ravello Apartments,17-0012,"16180 NE 80th Street, Redmond",BLG-2016-00379,"Ravello Apartments, LLC",,Isaac
Ravenna Eckstein CC Gym Curtain Support,18-0471,"6535 Ravenna Avenue NE, Seattle",6629495 (pending,"WS Contractors, LLC",(206) 615-0222,Walter
Razor Clam Bridge Replacement,17-0450,"S. Razor Clam Drive SW, Ocean Shores",,Cascade Bridge,(360) 791-2741,Jeff
Relyea Residence,18-0349,"2431 169th Place SE, Bellevue",18 104469BU,"Seismic Northwest, LP",(831) 566-5535,Isaac
Renton Dental Arts Building,18-0444,"17816 108th Ave SE, Renton",,"Aldrich & Associates, Inc.",,Walter
Reuter Armstrong Residence,17-0795,"30045 SE 64th St*, Preston",DWEL 160375,"DLH, Inc.",(360) 731-3370,Isaac
Richter Seismic Retrofit,18-0288,"2624 242nd Place SE, Bothell",BSF2018.18448,"A-FFIX, LLC - RETAINER R",206-227-4869,Isaac
Ring Custom,18-0380,"4216 Shoreclub Drive, Mercer Island",1706-292,"JayMarc Custom Homes, LL",(425) 417-5818,Isaac
Riverfront Simpson,16-0175,"4312 30th Drive SE, Everett",various,Polygon Northwest,425-512-3480,Walter
Riverwalk,17-0824,"4011 McKinley Avenue, Carnation",,"Rehabitat Northwest, Inc.",(907) 903-9405,Isaac
RJP Project,17-0033,"3615 42nd Ave NE, Seattle",6528554,"Toth Construction, Inc.",(206) 730-3760,Isaac
Road Bear RV,18-0456,"1541 S. 96th Street, Seattle",18-0107,Blue Star Gas,(206) 379-3159,Scott
Roanoke Haus,18-0015,"1615 Roanoke Way, Mercer Island",1703-098,"Toth Construction, Inc.",(206) 730-1422,Isaac
Roberts Residence (Christopher & Jennifer),16-0706,"3914 48th Place NE, Seattle",6507578,"Headland Construction, Inc.",(206) 369-5983,Jeff
Robins Nest Apartments,17-0219,"3272 Fuhrman Ave E, Seattle",6511719,SACO Construction Corpora,(425) 941-7272,Jeff
S.K.B.A. Buddhist Temple,16-0285,"824 South 100th Street, Seattle",COMN13-0014,"Bay View Construction, Inc.",(206) 272-0707,Walter
S9-215,18-0253,"215 1st Avenue North, Seattle",6583982,"Stratford Co., LLC",(206) 399-9600,Isaac
Sammamish High School Gateway Concessi,13-0593c,"100 140th Avenue SE, Bellevue",,Spee West Construction,(206) 719-8097,Walter
Sammamish High School Modernization,13-0593,"100 140th Avenue SE, Bellevue",13 106438BB,Spee West Construction,(206) 719-4833,Walter
Sammamish High School South Vault,13-0593b,"100 140th Avenue SE, Bellevue",16-136532BH,Spee West Construction,(206) 719-8097,Walter
Sammamish HS Batting Cages,13-0593d,"100 140th Avenue SE, Bellevue",16-136481BB,Spee West Construction,206-719-8097,Walter
Sammamish HS Glass Studio,13-0593a,"100 140th Avenue SE, Bellevue",16-136481BB,Spee West Construction,(206) 719-4833,Walter
Sammamish Public Storage,18-0296,"23025 NE 8th Street, Sammamish",COM2017-05343,Bouwer Construction Comp,(425) 985-0488,Jeff
Sand Point Building 9,17-0118,"7101 62nd Avenue NE, Seattle",6466033,"Rafn Company, Inc.",(206) 510-3836,Walter
Sartori Elementary School,17-0364,"332 Park Avenue North, Renton",B16006797,FORMA Construction Comp,(253) 213-3682,Walter
Schwarts Bulkhead,18-0141,"ora lab,",,"Bayshore Concrete, LLC",,Isaac
Scott and Katie Residence,18-0341,"3001 24th Avenue West, Seattle",6599473,Howard Garton,(206) 407-4653,Isaac
SCRI Building Cure - Structural,17-0155a,"1920 Terry Avenue, Seattle",6531443,"Lease Crutcher Lewis, Inc.",,Jeff
SeaTac North Satellite,18-0169,"102 Frontage Road S, Pacific",,"Precision Iron Works, Inc.",(253) 887-5555X2,Isaac
SeaTac Service Tunnel - HBI 860158,18-0100,"SeaTac Airport, SeaTac",17-120466B2,,(206) 419-9010,Jeff
Seattle Boat Fuel Dock,18-0467,"101 NE Northlake Way, Seattle",6375702,"Sea & Shore Construction, I",(425) 231-7652,Isaac
Seattle Pipe Trades - UA Local 32 Facility Ex,17-0653,"595 Monster Road SW, Suite 100, Renton",B15005191,Bayley Construction,(206) 251-0198,Isaac
Seattle University Student Housing - RH Moi,18-0383,"1107 E Madison Street, Seattle",,Howard S. Wright,(253) 359-0694,Isaac
Security Industry Specialists (SIS),18-0434,"20 West Galer Street, Seattle",6630247,Farwest Tenant Improveme,(206) 795-5864,Isaac
Sehome Hill Communication Tower - HBI 86,18-0081,", Bellingham",,"Hayward Baker, Inc.",(206) 419-9010,Jeff
Semanski Farm,17-0809,"801 Semanski Street, Enumclaw",,Carl J. Sanders Constructio,(206) 730-8030,Walter
Serra,18-0179,"2100 6th Avenue, Seattle",6584216,Dovetail General Contractor,(206) 372-7245,Isaac
Service Tunnel Renewal Project,17-0801,"SeaTac International Airport, SeaTac",,James W. Fowler Company,(360) 286-4602,Jeff
Service Tunnel Renewal Project (JW Fowler),17-0801a,", SeaTac",,,,Jeff
SFDHQ Cladding,17-0680,"301 2nd Avenue South, Seattle",6583291,Pioneer Masonry Restoratio,,Walter
Shablevsky Residence,18-0330,"31620 49th Place South, Auburn",DWEL17-0003,"Euro Standard Construction,",(253) 315-5199,Jeff
Shalina Homes - Bldg. #2,17-0461,"5010 15th Avenue NE, Seattle",6413035,"Eurocon, Inc.",(206) 218-4400,Isaac
Sharkey Dadu,18-0452,"3033 Hunter Blvd S, Seattle",6594617,STS Construction Services,(206) 501-9936,Isaac
Sharma - SIR,18-0191,"316 Lake Washington Blvd S, Seattle",,,(206) 999-0110,Jeff
Sherwin Willliams,18-0291,"8824 Rainier Ave S, Seattle",6614759,Ferris-Turney General Contr,(206) 250-2692,Jeff
Sierra Heights Elementary - SIR,18-0339,"2501 Union Avenue NE, Renton",,,,Jeff
Sinha Residence,17-0393,"3012 Fauntleroy Ave SW, Seattle",6504958,"IRC, LLC",(206) 979-8771,Jeff
Site Welding Services Misc. 2018,18-0348,"19563 144th Avenue NE, Woodinville",,,(425) 488-2156 ex,Isaac
Skyway,18-0083,"11709 64th Ave S, Seattle",DWEL170208,,(425) 985-2573,Jeff
Small World Trust,16-0777,"140 Lake Washington Blvd. East, Seattle",6486711,"Schultz Miller, Inc.",(206) 551-9654,Walter
Snoqualmie Water Reservoirs Improvements,18-0238,"7805 Fisher Avenue SE, Snoqualmie",COM2017-015,,712-358-1217,Isaac
Sound House Residence,18-0351,"2231 Eastmont Way West, Seattle",6608487,"Thomaswerks, Inc.",(206) 914-9230,Isaac
Sound Transit E320 Stone Columns HBI028,18-0063,2700 Bellevue Way SE (old Park and Ride Stati,,,,Jeff
South Kenmore Office,17-0992a,"6704 NE 181st Street, Kenmore",BLD17-0810,GenCap Construction Corp.,(425) 301-6264,Jeff
South Kenmore Restaurant,17-0992,"6750 NE 181st Street, Kenmore",BLD17-0873,GenCap Construction Corp.,(425)301-6264,Jeff
South Side Pie,18-0218,"8611 14th Avenue South, Seattle",6596204,H Dufour Construction Inc.,(206) 369-3395,Isaac
Southcenter 16 Auditorium #9 Renovation,17-0959,"3600 Southcenter Mall, Tukwila",,A.R. Mays Construction,(918) 695-5153,Isaac
Southcenter View Condominiums,18-0347,"15210 Macadam Rd S, Tukwila",D17-0054,Ruff Construction,(206) 734-8968,Jeff
Spiritwood - Unit #01,18-0382a,"3607 228th Avenue SE, Issaquah",BLD16-00402,Belotti McHugh Design and,(206) 229-7108,Isaac
Spiritwood - Units #02 and 03,18-0382b,"3607 228th Avenue SE, Issaquah",BLD16-00403,Belotti McHugh Design and,(206) 229-7108,Isaac
Spiritwood - Units #04 and 05,18-0382c,"3607 228th Avenue SE, Issaquah",BLD16-00404,Belotti McHugh Design and,(206) 229-7108,Isaac
Spiritwood - Units #06 and 07,18-0382d,"3607 228th Avenue SE, Issaquah",BLD16-00405,Belotti McHugh Design and,(206) 229-7108,Isaac
Spiritwood - Units #08 and 09,18-0382e,"3607 228th Avenue SE, Issaquah",BLD16-00406,Belotti McHugh Design and,(206) 229-7108,Isaac
Spiritwood - Units #10 and 11,18-0382f,"3607 228th Avenue SE, Issaquah",BLD16-00407,Belotti McHugh Design and,(206) 229-7108,Isaac
Spiritwood - Units #12 and 13,18-0382g,"3607 228th Avenue SE, Issaquah",BLD16-00408,Belotti McHugh Design and,(206) 229-7108,Isaac
Spiritwood - Units #14 and 15,18-0382h,"3607 228th Avenue SE, Issaquah",BLD16-00409,Belotti McHugh Design and,(206) 229-7108,Isaac
Spiritwood - Units #16 and 17,18-0382i,"3607 228th Avenue SE, Issaquah",BLD16-00410,Belotti McHugh Design and,(206) 229-7108,Isaac
Springbrook Apartments - Walkway Repairs,18-0054,"5301 Talbot Rd S, Renton",,,,Anthony
